Term,Definition
Achieved status,"Achieved status is status based on the qualities (skills, knowledge, or physical talent) of the individual."
Amino acids,"Amino acids are monomers that form proteins. Each shares a common structure with an amino group that holds a positive charge and an acid group with a negative charge, which link to form the “backbone” of the protein polymer. Amino acids differ in the so-called “R-group” which comes out from the side of the polypeptide chain."
Ascribed status,"Ascribed status is status based on the heredity of the individual."
Competitive feast,"A competitive feast is a feast in which the host aims to gain status and political support by demonstrating their wealth and influence through hosting the most lavish feast."
Diacritical feast,"A diacritical feast is a sponsored feast intended to reinforce existing social distinctions and demonstrate the power of the host."
Fatty acids,"Fatty acids are lipids and monomers of triglycerides. They contain a carboxylic acid group, which binds to the triacylglycerol in a triglyceride, and a chain of carbons with attached hydrogens up to 35 carbon atoms long."
Feasting,"Feasting is the shared public consumption of abundant prepared food, eaten with a broader group of individuals than are common meals."
Polymers,"Polymers are molecules formed of connected subunits, each termed a monomer. Examples include proteins (chains of amino acids) and carbohydrates (chains of sugars)."
Surplus,"Agricultural surplus is a term used by archaeologists to refer to food produced that is more than needed by the producers (and their households) for ordinary (annual, in seasonal climates) subsistence."
Transegalitarian society,"A transegalitarian society is one in which status is ascribed and transgenerational."
Triglycerides,"Triglycerides are a category of lipids that are the most common component of vegetable fats and adipose tissue (body fat) in animals. They are composed of one triacylglycerol backbone and three fatty acid chains."
