Term,Definition
Archaeology,Archaeology is the scientific study of the human past through the analysis of material remains
Archaeological evidence,"Archaeological evidence includes material remains, features, the spatial relationships among them, imagery and texts from archaeological settings, and results from the scientific analysis of material remains."
Artifacts,"Artifacts are among the most common finds encountered during archaeological survey. As both pottery and stone tools are durable but often break under repeated use, these are the most common types of artifacts to encounter during pedestrian survey."
Chemical residue analysis,"Chemical residue analysis is the field of research that studies the chemical traces of human activity in the past. Most residue analysis is conducted in artifacts, especially porous pottery that might absorb the chemicals of the items cooked or stored within the pot."
Culture,"Culture is the sum of the social behavior practiced by humans. Culture is generally used to describe human societies exclusively, although arguments have been made that our close relatives, the great apes, possess aspects of culture as well. Culture includes a set of learned norms and practices that are diverse over time and space. Archaeologists may use the term culture to describe the people who left behind a set of material remains with similarities over a span of time and space, for example, the Bell Beaker Culture . This term is usually used in prehistoric settings in which we do not know what people called themselves."
Ethnography,"Ethnography is a key anthropological tool for the study of culture. Through observation of the behavior, actions, and stated beliefs of people, aspects of their shared culture are determined. Although ethnography most often relies on in-person observation, often as a participant in cultural activities, it also can draw on the analysis of documentary records, whether written or visual."
Excavation,"Excavation is the practice of digging carefully and systematically to uncover features, artifacts, and strata."
Features,"Features are non-movable archaeological contexts that were created by people. This is a diverse category including, among others, the burned earth remains of a fireplace or clay oven, the foundation stones of a wall, pits or holes dug to store objects or as part of construction, the remains of irrigation canals, or carvings on a bedrock outcrop. Archaeologists often encounter these during excavation, but also during survey, such as remains of a wall or a pile of stones left at the edge of a field by ancient farmers."
Flotation,"Flotation is process by which archaeologists use water to separate plant material, usually carbonized wood and seeds, from soil and heavy artifacts and ecofacts, such as pottery sherds and animal bone fragments. This is the primary method by which paleoethnobotanical remains are collected in most areas of the world."
Geophysics,"Geophysics is a set of techniques that use radar, magnetic fields, or electrical currents to detect differences in the composition of the ground over an archaeological site to map subsurface features."
Grinding stones,"Grinding stones are natural stones shaped to produce rough, but flat or consistently curved, surfaces that can be used to grind seeds, fruits, or other food items, as well as minerals for other uses."
Historical archaeology,"Historical archaeology generally refers to the field of study of the colonial period (post-1492) in the Americas. In this period historical documents, as well as archaeological data, are available as evidence."
Inference,Inference is the use of observation and evidence to establish a conclusion. Archaeological inference draws on archaeological evidence to make statements about likely conditions in the past.
Isotopes,"Isotopes are different forms of atoms of an element, determined by their molecular weight (their total number of protons and neutrons). All atoms belong to one element and one isotope. Radioactive isotopes are unstable and will change into another isotope, usually of another element. Stable isotopes remain indefinitely unless acted upon by an outside force."
Lidar,"Lidar is a technology that uses laser beams that scan an area and map point-by-point distances, creating a three-dimensional rendering of an object, structure, area, or landscape."
Material remains,"Material remains are any physical traces of human activity that are tangible. This includes artifacts, objects created by humans, and a category often termed ecofacts, aspects of the natural world shaped by humans, such as the remains of food. Examples of artifacts include stone tools (often called lithics), pottery, and even buildings. Examples of ecofacts include uneaten portions of plants, animal bones, and ashes from a wood fire. Note that sometimes archaeologists may term all of these traces of human activity (including ecofacts) as artifacts!"
Materialism,Materialism is the study of behavior and culture as being rooted in the interplay between different substances and physical properties.
Microbotanical remains,"Microbotanical remains are the remains of plants that are so small as to require a microscope for identification and analysis. Examples include pollen, phytoliths, and starch granules."
Paleoethnobotany,Paleoethnobotany (also termed archaeobotany) is the field of research that studies plant remains in archaeological contexts.
Photogrammetry,Photogrammetry is a computational approach that uses large numbers of photographs taken of three-dimensional surfaces from a variety of angles to be stitched together to create a 2-D or 3-D virtual rendering of the entire area.
Phytoliths,Phytoliths are microscopic structures made of silica that plants deposit within and between plant cells. Phytoliths often have distinctive three-dimensional shapes that allow experienced researchers to identify the plant in which they were produced.
Proxy,"A proxy is a substitute. In the case of archaeological and paleoenvironmental reasoning, proxies are types of evidence that are argued to be similar to, or a direct consequence of, another form of evidence, or a behavior, that we cannot directly observe."
Radiocarbon dating,"Radiocarbon dating (also termed carbon-14 dating) is a method for determining the period of time between the death of an organism and the present. This tool allows us to date various archaeological finds, primarily ecofacts, as well as human skeletons."
Semiotics,"Semiotics is the study of signs, symbols, and their meaning. Often semiotics involves the study of the meaning of specific words and terms."
Sites,"Sites are dense collections of artifacts or features; these can range from an area of the ground with a density of pottery fragments that suggests there may once have been a house there to the still-standing walls of an ancient city. There are no strict rules that distinguish what is the minimum size of a site, although individual research teams may create such boundaries when interpreting survey data."
Starch granules,"Starch granules are structures created by plants to store starch for use as a future energy source. Starch granules are particularly common within storage organs, such as tubers and bulbs, and in seeds."
Strata,Strata are distinct layers of soils or sediments discovered during excavation.
Stratigraphy,"Stratigraphy is study of layers of rock (in geology), sediments and soils (in geology and archaeology), and the relative location of features and artifacts (in archaeology). Based on the relative position of layers, features, and artifacts, it is possible to determine the chronological sequence of their deposition."
Structuralism,Structuralism is the argument that only by studying how different aspects of culture are related to one another can we understand the elements that structure societies.
Superposition,"Superposition is the principle that items and layers (strata) found underneath other layers predate those above them, absent post-depositional disturbance. A stack of mail that accumulates on a desk will have the oldest on the bottom and most recent on the top; a floor may have multiple layers of linoleum tiles atop one another, and those on the bottom are the earliest. It is the same with geological layers and archaeological layers, unless someone or something has dug into the deposits and removed material, which is later filled in with more recent material."
Survey,"Survey is the systematic search for archaeological remains and sites. Pedestrian survey uses individuals precisely spaced at regular intervals walking across a landscape looking at the ground for evidence of archaeological materials or features. In intensive survey, these people are closely spaced."
Uniformitarianism,"Uniformitarianism is the principle that geological processes visible in the present day are those that operated in the past. For example, volcanos such as we find today created mountain ranges, which were then worn down by millennia of erosion from wind, rain, and glacial activity. These are the same geological processes that exist in the present."
Zooarchaeology,Zooarchaeology is the field of research that studies animal remains in archaeological contexts.
